STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,694606,507117,67079,1268802,5,2,0,7
Alaska,AK,169685,39357,18683,227725,1,0,0,1
Arizona,AZ,681922,472135,40343,1194400,6,2,0,8
Arkansas,AR,283739,392086,12451,688276,1,3,0,4
California,CA,3225666,3731081,301670,7258417,20,33,0,53
Colorado,CO,752998,589463,54627,1397088,5,2,0,7
Connecticut,CT,465982,509036,14291,989309,3,2,0,5
Delaware,DE,164605,61011,2789,228405,1,0,0,1
Florida,FL,2161349,1537124,68085,3766558,18,7,0,25
Georgia,GA,1104622,814295,0,1918917,8,5,0,13
Hawaii,HI,116693,232344,10947,359984,0,2,0,2
Idaho,ID,256348,138038,10637,405023,2,0,0,2
Illinois,IL,1657183,1740541,31412,3429136,10,9,0,19
Indiana,IN,840694,640568,40091,1521353,6,3,0,9
Iowa,IA,546382,453550,12690,1012622,4,1,0,5
Kansas,KS,536026,259911,33953,829890,3,1,0,4
Kentucky,KY,693860,350924,49458,1094242,4,2,0,6
Louisiana,LA,667702,390644,81817,1140163,5,2,0,7
Maine,ME,205780,289514,0,495294,0,2,0,2
Maryland,MD,752911,904250,1952,1659113,2,6,0,8
Massachusetts,MA,290484,1528634,401208,2220326,0,10,0,10
Michigan,MI,1474178,1507174,74545,3055897,9,6,0,15
Minnesota,MN,1029612,1097911,74115,2201638,4,4,0,8
Mississippi,MS,338817,320157,18662,677636,2,2,0,4
Missouri,MO,985905,829177,38481,1853563,5,4,0,9
Montana,MT,214100,108233,8988,331321,1,0,0,1
Nebraska,NE,386869,46843,40102,473814,3,0,0,3
Nevada,NV,301100,171160,29593,501853,2,1,0,3
New Hampshire,NH,254797,175905,12741,443443,2,0,0,2
New Jersey,NJ,933964,1030204,41891,2006059,6,7,0,13
New Mexico,NM,175342,262071,82,437495,2,1,0,3
New York,NY,1525771,1777688,1397550,4701009,10,19,0,29
North Carolina,NC,1209033,970716,64400,2244149,7,6,0,13
North Dakota,ND,109957,121073,0,231030,0,1,0,1
Ohio,OH,1775555,1331614,50854,3158023,12,6,0,18
Oklahoma,OK,546832,391927,63093,1001852,4,1,0,5
Oregon,OR,528997,676920,34398,1240315,1,4,0,5
Pennsylvania,PA,1859270,1348665,102378,3310313,12,7,0,19
Rhode Island,RI,97137,224676,6930,328743,0,2,0,2
South Carolina,SC,569267,344972,70176,984415,4,2,0,6
South Dakota,SD,180023,153551,3117,336691,1,0,0,1
Tennessee,TN,770510,708375,50505,1529390,4,5,0,9
Texas,TX,2290723,1885178,119309,4295210,15,17,0,32
Utah,UT,321986,221401,13766,557153,2,1,0,3
Vermont,VT,72813,0,152442,225255,0,0,1,1
Virginia,VA,955673,440478,120331,1516482,8,3,0,11
Washington,WA,778922,907440,52754,1739116,3,6,0,9
West Virginia,WV,135505,264124,320,399949,1,2,0,3
Wisconsin,WI,889146,676925,71475,1637546,4,4,0,8
Wyoming,WY,110229,65961,5962,182152,1,0,0,1