STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,718367,1120903,15998,1855268,2,5,0,7
Alaska,AK,142560,158939,15479,316978,0,1,0,1
Arizona,AZ,1055305,1021798,78591,2155694,5,3,0,8
Arkansas,AR,415481,215196,156516,787193,3,1,0,4
California,CA,7380825,4515925,425329,12322079,34,19,0,53
Colorado,CO,1259723,990836,33287,2283846,5,2,0,7
Connecticut,CT,908761,504785,113853,1527399,5,0,0,5
Delaware,DE,146434,235437,3586,385457,0,1,0,1
Florida,FL,3434831,3792167,194174,7421172,10,15,0,25
Georgia,GA,1858090,1796549,309,3654948,6,7,0,13
Hawaiʻi,HI,319956,82540,53568,456064,2,0,0,2
Idaho,ID,259776,377464,612,637852,1,1,0,2
Illinois,IL,3176203,1961173,110819,5248195,12,7,0,19
Indiana,IN,1388963,1240581,47306,2676850,5,4,0,9
Iowa,IA,759460,698241,24106,1481807,3,2,0,5
Kansas,KS,470031,690005,48266,1208302,1,3,0,4
Kentucky,KY,761209,955182,33449,1749840,2,4,0,6
Louisiana,LA,398474,594306,53396,1046176,1,6,0,7
Maine,ME,431903,278198,0,710101,2,0,0,2
Maryland,MD,1677490,762587,57875,2497952,7,1,0,8
Massachusetts,MA,2245778,318461,538756,3102995,10,0,0,10
Michigan,MI,2516640,2114293,179757,4810690,8,7,0,15
Minnesota,MN,1612480,1069015,121119,2802614,5,3,0,8
Mississippi,MS,731805,527330,5612,1264747,3,1,0,4
Missouri,MO,1413016,1313018,95450,2821484,4,5,0,9
Montana,MT,155930,308470,16500,480900,0,1,0,1
Nebraska,NE,264885,510513,0,775398,0,3,0,3
Nevada,NV,457320,383548,67386,908254,2,1,0,3
New Hampshire,NH,364767,294560,15221,674548,2,0,0,2
New Jersey,NJ,1911827,1461820,64333,3437980,8,5,0,13
New Mexico,NM,457135,321083,36348,814566,3,0,0,3
New York,NY,4006436,1800093,1914974,7721503,26,3,0,29
North Carolina,NC,2293971,1901517,19605,4215093,8,5,0,13
North Dakota,ND,194577,119388,0,313965,1,0,0,1
Ohio,OH,2752111,2491498,130731,5374340,10,8,0,18
Oklahoma,OK,503614,802530,30783,1336927,1,4,0,5
Oregon,OR,1036171,435920,210418,1682509,4,1,0,5
Pennsylvania,PA,3209168,2520755,57931,5787854,12,7,0,19
Rhode Island,RI,303670,118773,15789,438232,2,0,0,2
South Carolina,SC,919529,939703,14658,1873890,2,4,0,6
South Dakota,SD,256041,122966,0,379007,1,0,0,1
Tennessee,TN,1195542,977677,128666,2301885,5,4,0,9
Texas,TX,2979398,4203917,345307,7528622,12,20,0,32
Utah,UT,393761,503917,39161,936839,2,1,0,3
Vermont,VT,248203,0,49948,298151,1,0,0,1
Virginia,VA,1852788,1590687,51880,3495355,6,5,0,11
Washington,WA,1725316,1189147,0,2914463,6,3,0,9
West Virginia,WV,432075,213339,146,645560,2,1,0,3
Wisconsin,WI,1383536,1274987,116651,2775174,5,3,0,8
Wyoming,WY,106758,131244,11573,249575,0,1,0,1