STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,1st,129063,0,27218,156281,1,0,0
Alabama,AL,4th,167714,0,2007,169721,1,0,0
Alabama,AL,6th,205288,0,4076,209364,1,0,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,n/a,0,0,0,0,0,0,0
Arkansas,AR,n/a,0,0,0,0,0,0,0
California,CA,21st,135979,0,0,135979,1,0,0
California,CA,22nd,173490,0,2173,175663,1,0,0
Colorado,CO,n/a,0,0,0,0,0,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,1st,170821,0,42705,213526,1,0,0
Florida,FL,4th,178238,0,52607,230845,1,0,0
Florida,FL,6th,179349,0,71632,250981,1,0,0
Florida,FL,17th,0,106361,17009,123370,0,1,0
Florida,FL,21st, , , , ,1,0,0
Georgia,GA,6th,198100,0,188,198288,1,0,0
Georgia,GA,9th,173512,0,0,173512,1,0,0
Georgia,GA,11th,163515,0,0,163515,1,0,0
Hawaii,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,n/a,0,0,0,0,0,0,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,n/a,0,0,0,0,0,0,0
Kentucky,KY,n/a,0,0,0,0,0,0,0
Louisiana,LA,5th,122033,0,33279,155312,1,0,0
Louisiana,LA,7th, , , , ,1,0,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,8th,0,134974,2686,137660,0,1,0
Michigan,MI,n/a,0,0,0,0,0,0,0
Minnesota,MN,n/a,0,0,0,0,0,0,0
Mississippi,MS,n/a,0,0,0,0,0,0,0
Missouri,MO,9th,162724,0,47634,210358,1,0,0
Montana,MT,n/a,0,0,0,0,0,0,0
Nebraska,NE,n/a,0,0,0,0,0,0,0
Nevada,NV,n/a,0,0,0,0,0,0,0
New Hampshire,NH,n/a,0,0,0,0,0,0,0
New Jersey,NJ,n/a,0,0,0,0,0,0,0
New Mexico,NM,n/a,0,0,0,0,0,0,0
New York,NY,12th,0,68624,18129,86753,0,1,0
New York,NY,29th,93167,0,116978,210145,1,0,0
North Carolina,NC,n/a,0,0,0,0,0,0,0
North Dakota,ND,n/a,0,0,0,0,0,0,0
Ohio,OH,n/a,0,0,0,0,0,0,0
Oklahoma,OK,1st,151173,0,45656,196829,1,0,0
Oklahoma,OK,4th, , , , ,1,0,0
Oregon,OR,n/a,0,0,0,0,0,0,0
Pennsylvania,PA,1st,0,149944,0,149944,0,1,0
Rhode Island,RI,n/a,0,0,0,0,0,0,0
South Carolina,SC,n/a,0,0,0,0,0,0,0
South Dakota,SD,n/a,0,0,0,0,0,0,0
Tennessee,TN,n/a,0,0,0,0,0,0,0
Texas,TX,1st,129398,0,14811,144209,1,0,0
Texas,TX,2nd,130020,0,16711,146731,1,0,0
Texas,TX,7th,143655,0,32723,176378,1,0,0
Texas,TX,13th,113201,0,16842,130043,1,0,0
Texas,TX,24th,100078,0,22609,122687,1,0,0
Texas,TX,31st,126384,0,26735,153119,1,0,0
Utah,UT,n/a,0,0,0,0,0,0,0
Vermont,VT,n/a,0,0,0,0,0,0,0
Virginia,VA,6th,127487,0,39667,167154,1,0,0
Washington,WA,7th,0,232649,47741,280390,0,1,0
West Virginia,WV,n/a,0,0,0,0,0,0,0
Wisconsin,WI,n/a,0,0,0,0,0,0,0
Wyoming,WY,n/a,0,0,0,0,0,0,0