STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,1233624,693498,6508,1933630,6,1,0,7
Alaska,AK,185296,82927,21581,289804,1,0,0,1
Arizona,AZ,1131663,946994,94660,2173317,4,5,0,9
Arkansas,AR,637591,304770,95693,1038054,4,0,0,4
California,CA,4530012,7392703,281642,12204357,15,38,0,53
Colorado,CO,1143796,1080153,226539,2450488,4,3,0,7
Connecticut,CT,490580,884398,91533,1466511,0,5,0,5
Delaware,DE,129757,249933,8369,388059,0,1,0,1
Florida,FL,3826522,3392402,294610,7513534,17,10,0,27
Georgia,GA,2104098,1448869,0,3552967,9,5,0,14
Hawaiʻi,HI,137531,285008,14620,437159,0,2,0,2
Idaho,ID,406814,208297,20107,635218,2,0,0,2
Illinois,IL,2207818,2743702,106613,5058133,6,12,0,18
Indiana,IN,1351760,1142554,59432,2553746,7,2,0,9
Iowa,IA,726505,772387,37957,1536849,2,2,0,4
Kansas,KS,740981,195505,121253,1057739,4,0,0,4
Kentucky,KY,1027582,684744,33051,1745377,5,1,0,6
Louisiana,LA,1143027,359190,203400,1705617,5,1,0,6
Maine,ME,265982,427819,30822,724623,0,2,0,2
Maryland,MD,858406,1626872,100236,2585514,1,7,0,8
Massachusetts,MA,697637,2080594,405965,3184196,0,9,0,9
Michigan,MI,2086804,2327985,159843,4574632,9,5,0,14
Minnesota,MN,1210409,1560984,41990,2813383,3,5,0,8
Mississippi,MS,703635,411398,93142,1208175,3,1,0,4
Missouri,MO,1463586,1119554,92760,2675900,6,2,0,8
Montana,MT,255468,204939,19333,479740,1,0,0,1
Nebraska,NE,496276,276239,0,772515,3,0,0,3
Nevada,NV,457239,453310,63193,973742,2,2,0,4
New Hampshire,NH,311636,340925,29855,682416,0,2,0,2
New Jersey,NJ,1430325,1794301,57152,3281778,6,6,0,12
New Mexico,NM,343269,422189,632,766090,1,2,0,3
New York,NY,1733037,3897953,1485346,7116336,6,21,0,27
North Carolina,NC,2137167,2218357,28588,4384112,9,4,0,13
North Dakota,ND,173585,131870,10769,316224,1,0,0,1
Ohio,OH,2620233,2412385,109508,5142126,12,4,0,16
Oklahoma,OK,856872,410324,58739,1325935,5,0,0,5
Oregon,OR,547290,852919,307959,1708168,1,4,0,5
Pennsylvania,PA,2710070,2793538,52722,5556330,13,5,0,18
Rhode Island,RI,161926,232679,33170,427775,0,2,0,2
South Carolina,SC,1026129,714191,62414,1802734,6,1,0,7
South Dakota,SD,207640,153789,0,361429,1,0,0,1
Tennessee,TN,1369562,796513,117652,2283727,7,2,0,9
Texas,TX,4429270,2949900,285038,7664208,24,12,0,36
Utah,UT,647873,324309,26715,998897,3,1,0,4
Vermont,VT,67543,208600,13788,289931,0,1,0,1
Virginia,VA,1876761,1806025,57669,3740455,8,3,0,11
Washington,WA,1369540,1636726,0,3006266,4,6,0,10
West Virginia,WV,384253,257101,0,641354,2,1,0,3
Wisconsin,WI,1401995,1445015,19040,2866050,5,3,0,8
Wyoming,WY,166452,57573,26675,250700,1,0,0,1