STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,704533,331764,44583,1080880,6,1,0,7
Alaska,AK,142572,114602,22567,279741,1,0,0,1
Arizona,AZ,817168,577943,72492,1467603,5,4,0,9
Arkansas,AR,509631,254774,66247,830652,4,0,0,4
California,CA,2950679,4067737,114005,7132421,14,39,0,53
Colorado,CO,1000197,936417,63911,2000525,4,3,0,7
Connecticut,CT,409513,596390,61954,1067857,0,5,0,5
Delaware,DE,85146,137251,9220,231617,0,1,0,1
Florida,FL,2713451,2130626,154478,4998555,17,10,0,27
Georgia,GA,1349076,956361,228,2305665,10,4,0,14
Hawaii,HI,120084,235400,14219,369703,0,2,0,2
Idaho,ID,275072,160078,7,435157,2,0,0,2
Illinois,IL,1721865,1822779,23358,3568002,8,10,0,18
Indiana,IN,788762,502104,50948,1341814,7,2,0,9
Iowa,IA,595865,509189,15280,1120334,3,1,0,4
Kansas,KS,540756,311530,9791,862077,4,0,0,4
Kentucky,KY,887157,508151,2318,1397626,5,1,0,6
Louisiana,LA,1031270,406186,131266,1568722,5,1,0,6
Maine,ME,228071,305242,83683,616996,1,1,0,2
Maryland,MD,704400,978267,20370,1703037,1,7,0,8
Massachusetts,MA,308598,1475442,402749,2186789,0,9,0,9
Michigan,MI,1466749,1519030,103698,3089477,9,5,0,14
Minnesota,MN,913539,985760,64240,1963539,3,5,0,8
Mississippi,MS,329169,230014,67096,626279,3,1,0,4
Missouri,MO,838283,513600,74420,1426303,6,2,0,8
Montana,MT,203871,148690,15402,367963,1,0,0,1
Nebraska,NE,340816,185234,9480,535530,2,1,0,3
Nevada,NV,304809,210147,28053,543009,3,1,0,4
New Hampshire,NH,232379,247469,1072,480920,1,1,0,2
New Jersey,NJ,877265,914172,29928,1821365,6,6,0,12
New Mexico,NM,240542,271222,121,511885,1,2,0,3
New York,NY,1257412,1788105,889188,3934705,9,18,0,27
North Carolina,NC,1555364,1234027,18607,2807998,10,3,0,13
North Dakota,ND,138100,95678,14892,248670,1,0,0,1
Ohio,OH,1770923,1179587,49651,3000161,12,4,0,16
Oklahoma,OK,457613,174022,21778,653413,5,0,0,5
Oregon,OR,582909,778139,89654,1450702,1,4,0,5
Pennsylvania,PA,1833205,1467594,22734,3323533,13,5,0,18
Rhode Island,RI,122721,192776,760,316257,0,2,0,2
South Carolina,SC,734456,377025,44301,1155782,6,1,0,7
South Dakota,SD,183834,92485,0,276319,1,0,0,1
Tennessee,TN,848846,448421,73894,1371161,7,2,0,9
Texas,TX,2684592,1474016,294891,4453499,25,11,0,36
Utah,UT,351034,183491,31445,565970,4,0,0,4
Vermont,VT,59432,123349,8723,191504,0,1,0,1
Virginia,VA,1143747,845939,145645,2135331,8,3,0,11
Washington,WA,981853,1047747,0,2029600,4,6,0,10
West Virginia,WV,242823,182484,14081,439388,3,0,0,3
Wisconsin,WI,1233336,1102581,19663,2355580,5,3,0,8
Wyoming,WY,113038,37803,20312,171153,1,0,0,1