STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,975737,678687,5471,1659895,6,1,0,7
Alaska,AK,149779,131199,1188,282166,1,0,0,1
Arizona,AZ,1139251,1179193,22826,2341270,4,5,0,9
Arkansas,AR,556339,312978,19841,889158,4,0,0,4
California,CA,3973396,8010445,200681,12184522,7,46,0,53
Colorado,CO,1079772,1343211,90924,2513907,3,4,0,7
Connecticut,CT,512495,808652,58661,1379808,0,5,0,5
Delaware,DE,125384,227353,1077,353814,0,1,0,1
Florida,FL,3675417,3307228,38831,7021476,14,13,0,27
Georgia,GA,1987191,1814469,683,3802343,9,5,0,14
Hawaiʻi,HI,87348,287921,23388,398657,0,2,0,2
Idaho,ID,367993,207303,20428,595724,2,0,0,2
Illinois,IL,1754449,2757540,27715,4539704,5,13,0,18
Indiana,IN,1247978,1000104,8067,2256149,7,2,0,9
Iowa,IA,612338,664676,39428,1316442,1,3,0,4
Kansas,KS,563190,464380,22752,1050322,3,1,0,4
Kentucky,KY,935304,612977,21517,1569798,5,1,0,6
Louisiana,LA,835715,553184,71694,1460593,5,1,0,6
Maine,ME,250119,343635,37580,631334,0,2,0,2
Maryland,MD,737906,1493047,55331,2286284,1,7,0,8
Massachusetts,MA,497953,1943595,311117,2752665,0,9,0,9
Michigan,MI,1853459,2175003,126241,4154703,6,7,1,14
Minnesota,MN,1125533,1420769,30694,2576996,3,5,0,8
Mississippi,MS,471162,398770,68971,938903,3,1,0,4
Missouri,MO,1330975,1027969,59469,2418413,6,2,0,8
Montana,MT,256661,233284,14476,504421,1,0,0,1
Nebraska,NE,432077,264493,0,696570,3,0,0,3
Nevada,NV,439727,491272,29775,960774,1,3,0,4
New Hampshire,NH,248986,311242,10516,570744,0,2,0,2
New Jersey,NJ,1198664,1856819,43260,3098743,1,11,0,12
New Mexico,NM,264701,404026,24584,693311,0,3,0,3
New York,NY,1639593,3760566,850726,6250885,6,21,0,27
North Carolina,NC,1803368,1725505,42242,3571115,10,3,0,13
North Dakota,ND,193568,114377,13587,321532,1,0,0,1
Ohio,OH,2291333,2082684,32341,4406358,12,4,0,16
Oklahoma,OK,730531,428452,19853,1178836,4,1,0,5
Oregon,OR,702531,1061412,83703,1847646,1,4,0,5
Pennsylvania,PA,2206260,2712665,10950,4929875,9,9,0,18
Rhode Island,RI,129838,242575,867,373280,0,2,0,2
South Carolina,SC,927494,758340,23458,1709292,5,2,0,7
South Dakota,SD,202695,121033,12237,335965,1,0,0,1
Tennessee,TN,1279655,846450,33720,2159825,7,2,0,9
Texas,TX,4135359,3852752,214444,8202555,23,13,0,36
Utah,UT,617307,374009,61190,1052506,3,1,0,4
Vermont,VT,70705,188547,18978,278230,0,1,0,1
Virginia,VA,1408701,1867061,37194,3312956,4,7,0,11
Washington,WA,899744,1888593,233614,3021951,3,7,0,10
West Virginia,WV,337146,234568,6277,577991,3,0,0,3
Wisconsin,WI,1172964,1367492,31199,2571655,5,3,0,8
Wyoming,WY,127963,59903,17409,205275,1,0,0,1