STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,1416012,608809,26838,2051659,6,1,0,7
Alaska,AK,192126,159856,1183,353165,1,0,0,1
Arizona,AZ,1638516,1629318,415,3268249,4,5,0,9
Arkansas,AR,828266,330485,20645,1179396,4,0,0,4
California,CA,5640667,11084234,0,16724901,11,42,0,53
Colorado,CO,1378248,1679052,107650,3164950,3,4,0,7
Connecticut,CT,676650,1022792,73485,1772927,0,5,0,5
Delaware,DE,196392,281382,10496,488270,0,1,0,1
Florida,FL,5469164,4942287,53340,10464791,16,11,0,27
Georgia,GA,2490396,2393089,126,4883611,8,6,0,14
Hawaiʻi,HI,155215,354762,69807,579784,0,2,0,2
Idaho,ID,561405,255531,32973,849909,2,0,0,2
Illinois,IL,2416929,3355487,104403,5876819,5,13,0,18
Indiana,IN,1738745,1194901,62798,2996444,7,2,0,9
Iowa,IA,859418,762271,78579,1700268,3,1,0,4
Kansas,KS,775898,557258,25797,1358953,3,1,0,4
Kentucky,KY,1363964,735419,16512,2115895,5,1,0,6
Louisiana,LA,1169788,727402,49945,1947135,5,1,0,6
Maine,ME,340236,468978,19091,828305,0,2,0,2
Maryland,MD,1028150,1912740,13280,2954170,1,7,0,8
Massachusetts,MA,699001,2482596,476408,3658005,0,9,0,9
Michigan,MI,2617881,2688527,116732,5423140,7,7,0,14
Minnesota,MN,1474820,1554373,164616,3193809,4,4,0,8
Mississippi,MS,806832,421014,0,1227846,3,1,0,4
Missouri,MO,1723982,1172135,77304,2973421,6,2,0,8
Montana,MT,339169,262340,0,601509,1,0,0,1
Nebraska,NE,585234,326018,30046,941298,3,0,0,3
Nevada,NV,633827,665526,56254,1355607,1,3,0,4
New Hampshire,NH,354045,413895,19162,787102,0,2,0,2
New Jersey,NJ,1843047,2539128,50748,4432923,2,10,0,12
New Mexico,NM,407786,495781,117,903684,1,2,0,3
New York,NY,2691583,4716619,1196227,8604429,8,19,0,27
North Carolina,NC,2631336,2660535,33374,5325245,8,5,0,13
North Dakota,ND,245229,97970,12399,355598,1,0,0,1
Ohio,OH,3252887,2451500,57153,5761540,12,4,0,16
Oklahoma,OK,1044175,475731,31477,1551383,5,0,0,5
Oregon,OR,966786,1285339,56064,2308189,1,4,0,5
Pennsylvania,PA,3432595,3346712,0,6779307,9,9,0,18
Rhode Island,RI,109894,312636,65887,488417,0,2,0,2
South Carolina,SC,1412684,1076799,15959,2505442,6,1,0,7
South Dakota,SD,321984,0,75748,397732,1,0,0,1
Tennessee,TN,1685255,1105537,50952,2841744,7,2,0,9
Texas,TX,5926712,4896673,270241,11093626,23,13,0,36
Utah,UT,873347,505946,52939,1432232,4,0,0,4
Vermont,VT,95830,238827,36311,370968,0,1,0,1
Virginia,VA,2047635,2253974,33827,4335436,4,7,0,11
Washington,WA,1545436,2340356,58441,3944233,3,7,0,10
West Virginia,WV,514268,246903,214,761385,3,0,0,3
Wisconsin,WI,1661399,1566671,9981,3238051,5,3,0,8
Wyoming,WY,185732,66576,26195,278503,1,0,0,1